timesteps,episodes,success_rate,avg_return,avg_steps,avg_pos_err,avg_rot_err_rad
20480,885,0.0,-11.786960869050969,23.132203389830508,0.02250622470877358,0.2983444036737
40960,2223,0.0,-4.898693543857569,9.212775528565002,0.020691854858463636,0.25859437241339917
61440,2595,0.0,-4.276199788808364,7.891329479768786,0.020481782936233525,0.24943484492230908
81920,2636,0.0,-4.21416187566763,7.7693474962063735,0.020579150880251963,0.24784081064145322
102400,2667,0.0,-4.096856937186746,7.679040119985002,0.020292927304102322,0.23843087382040062
20480,900,0.0,-11.745516051186456,22.746666666666666,0.0225214566711858,0.3080696731405678
40960,2341,0.0,-4.691713960391749,8.745407945322512,0.020407586870600326,0.2585338421576239
61440,2634,0.0,-4.221282110217854,7.7748671222475325,0.0204158922331401,0.24831422044695464
81920,2645,0.0,-4.162737122285118,7.740642722117202,0.020319753889493797,0.24402012483691582
102400,2651,0.0,-4.068974889210601,7.72425499811392,0.02036470174478676,0.23355361858813062
122880,2671,0.0,-3.964468191643861,7.666042680643954,0.020187027404538167,0.2243268357950259
143360,2668,0.0,-3.8937761565555875,7.675412293853073,0.020085564318328766,0.21661414379714294
163840,2677,0.0,-3.798133841191471,7.649234217407546,0.020256270510475335,0.20764908420663944
184320,2680,0.0,-3.710093970085258,7.639925373134329,0.020073241873455078,0.1987940939047735
204800,2668,0.0,-3.623785610231145,7.674287856071964,0.02000031792595551,0.18934718993811125
20480,701,0.0,-14.962838876944636,29.20827389443652,0.02356516027458562,0.31704900283021015
40960,2002,0.0,-5.466986667026173,10.227272727272727,0.020709881535453854,0.27687579146522784
61440,2493,0.0,-4.433161188979441,8.214199759326114,0.020208637511901082,0.25314337684321375
81920,2658,0.0,-4.178134458059651,7.702784048156508,0.020343779982918572,0.24798439841243355
102400,2654,0.0,-4.134215033764038,7.716277317256971,0.020407093687150404,0.24242055074949753
122880,2664,0.0,-4.068164064093037,7.686936936936937,0.020136551668721876,0.23663438200349668
143360,2666,0.0,-3.9984097461993766,7.68192048012003,0.02026538303701607,0.22879197866102544
163840,2678,0.0,-3.8953470695009864,7.645631067961165,0.020103363707137632,0.21986556033501142
184320,2674,0.0,-3.8138985720337018,7.6581899775617055,0.02013873494904415,0.2104057882755379
204800,2676,0.0,-3.7188438425684187,7.65321375186846,0.02024963100675533,0.19941829069499337
